№,Название вакансии,название компании,зарплата,ссылка на вакансию
№ 32514946893,"Право заключения договора на ОКПД2 24.20.40.000 Поставка фасонных элементов для системы временного теплоснабжения главного корпуса Хабаровской ТЭЦ-4 в рамках комплекса генподрядных работ реализации проекта «Строительство Хабаровской ТЭЦ-4 с внеплощадочной инфраструктурой» Этап 3, 4 (Лот № 0355-КС ДОХ-2025-УСГС)","АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""","554 722,06 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18440596
№ 32514949938,Поставка промышленного вооружения (орудий лова) для нужд ООО «Аквамарин»,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАМАРИН""","4 796 950,67 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18439621
№ 32514949673,"Оказание услуг по сбору, обобщению и систематизации информации об условиях эксплуатации и техническом состоянии вертолета Ми-SAMT с целью определения возможности продолжения эксплуатации вертолета Ми-8AMT","ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АВИАЦИЯ КОЛЫМЫ""","2 519 400,00 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18439321
№ 32514950419,Оказание гостиничных услуг,"АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ДОМ ДРУЖБЫ НАРОДОВ ИМ. А.Е. КУЛАКОВСКОГО""","1 045 185,00 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18440189
№ 32514949939,"Право заключения договора на ОКПД2 28.25.11.130 Поставка воздушно отопительного агрегата для системы временного теплоснабжения главного корпуса Хабаровской ТЭЦ-4 в рамках комплекса генподрядных работ реализации проекта «Строительство Хабаровской ТЭЦ-4 с внеплощадочной инфраструктурой» Этап 3, 4 (Лот №0352-КС ДОХ-2025-УСГС)","АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""","7 467 720,00 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18439639
№ 32514949874,"Право заключения договора на ОКПД2 86.21.10 Оказание медицинских услуг проведение профилактических / предварительных/периодических медицинских осмотров в г. Хабаровск, в рамках выполнения генподрядных работ для реализации проекта «Строительство Хабаровской ТЭЦ-4 с внеплощадочной инфраструктурой 2.1, 3 этап» (Лот № 0021-КС ПИР СМР-2025-УСГС)","АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""","7 666 660,00 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18437832
№ 32514950572,"Капитальный ремонт в помещениях и устройство пандуса в МАУ ДО ""СШ №18"" г. Улан-Удэ «Золотой Дракон» (бассейн ""Юбилейный"")","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА №18"" ГОРОДА УЛАН-УДЭ ""ЗОЛОТОЙ ДРАКОН""","2 842 643,98 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18440365
№ 32514950921,Поставка лекарственных средств,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КУЗБАССКАЯ ОБЛАСТНАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ Ю.А. АТАМАНОВА""","797 015,38 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18440783
№ 32514921374,Поставка запчастей для снегоболотоходов на шасси МТЛБ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯКУТСКГЕОФИЗИКА""","33 147 931,60 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18439828
№ 32514950917,Поставка лекарственных средств,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КУЗБАССКАЯ ОБЛАСТНАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ Ю.А. АТАМАНОВА""","566 560,29 ₽",https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18440729
